YEAR,COUNTY_DISTRICT_CODE,DROPOUT_9_12_TOTAL,DROPOUT_9_12_TOTAL_RATE,DROPOUT_9_12_ASIAN_RATE,DROPOUT_9_12_BLACK_RATE,DROPOUT_9_12_HISPANIC_RATE,DROPOUT_9_12_INDIAN_RATE,DROPOUT_9_12_MULTIRACIAL_RATE,DROPOUT_9_12_WHITE_RATE,DROPOUT_9_12_MALE_RATE,DROPOUT_9_12_FEMALE_RATE
1991,19149,31,4.3,0,0,0,0,0,4.2,4.8,3.8
1991,19150,0,0,0,0,0,0,0,0,0,0
1991,19151,0,0,0,0,0,0,0,0,0,0
1991,19152,79,8,0,0,0,0,0,7.7,11.6,4.7
1991,20001,14,5.4,0,0,0,0,0,5.4,5.1,5.7
1991,20002,17,5,0,0,0,0,0,5,5.7,4.4
1991,21148,0,0,0,0,0,0,0,0,0,0
1991,21149,0,0,0,0,0,0,0,0,0,0
1991,21150,0,0,0,0,0,0,0,0,0,0
1991,21151,0,0,0,0,0,0,0,0,0,0
1991,22088,5,7.6,0,0,0,0,0,7.6,0,0
1991,22089,20,3.8,0,0,0,0,0,3.6,5.6,1.9
1991,22090,0,0,0,0,0,0,0,0,0,0
1991,22091,0,0,0,0,0,0,0,0,0,0
1991,22092,0,0,0,0,0,0,0,0,0,0
1991,22093,28,4,0,0,0,0,0,4,4.8,3.1
1991,22094,5,3.2,0,0,0,0,0,3.2,0,0
1991,23094,0,0,0,0,0,0,0,0,0,0
1991,23096,0,0,0,0,0,0,0,0,0,0
1991,23099,0,0,0,0,0,0,0,0,0,0
1991,23101,15,4.8,0,0,0,0,0,4.8,3.8,5.8
1991,24086,19,3,0,0,0,0,0,3.1,2.7,3.5
1991,24087,8,2.9,0,0,0,0,0,3,0,0
1991,24089,71,8.2,0,0,0,0,0,8.2,7.7,8.8
1991,24090,55,4.6,0,0,0,0,0,4.3,4.6,4.5
1991,24091,0,0,0,0,0,0,0,0,0,0
1991,24093,430,9.9,0,7.1,9.8,10.8,0,10.2,10.9,8.8
1991,25001,5,1.4,0,0,0,0,0,1.4,0,0
1991,25002,10,4.5,0,0,0,0,0,4.5,0,0
1991,25003,0,0,0,0,0,0,0,0,0,0
1991,26001,6,3.1,0,0,0,0,0,3.1,0,0
1991,26002,0,0,0,0,0,0,0,0,0,0
1991,26005,0,0,0,0,0,0,0,0,0,0
1991,26006,203,8.8,0,12.4,0,0,0,8.3,9.9,7.6
1991,27055,0,0,0,0,0,0,0,0,0,0
1991,27056,0,0,0,0,0,0,0,0,0,0
1991,27057,0,0,0,0,0,0,0,0,0,0
1991,27058,0,0,0,0,0,0,0,0,0,0
1991,27059,0,0,0,0,0,0,0,0,0,0
1991,27061,24,5.6,0,12.5,0,0,0,4.9,6.2,4.9
1991,28101,10,4.1,0,0,0,0,0,4.2,0,0
1991,28102,26,7.7,0,0,0,0,0,7.7,8.2,7.1
1991,28103,0,0,0,0,0,0,0,0,0,0
1991,29001,5,3.7,0,0,0,0,0,3.8,0,0
1991,29002,0,0,0,0,0,0,0,0,0,0
1991,29003,0,0,0,0,0,0,0,0,0,0
1991,29004,12,8.4,0,0,0,0,0,8.5,10.9,6.3
1991,30093,33,6.5,0,0,0,0,0,6.5,6,7
1991,31116,0,0,0,0,0,0,0,0,0,0
1991,31117,0,0,0,0,0,0,0,0,0,0
1991,31118,0,0,0,0,0,0,0,0,0,0
1991,31121,0,0,0,0,0,0,0,0,0,0
1991,31122,0,0,0,0,0,0,0,0,0,0
1991,32054,0,0,0,0,0,0,0,0,0,0
1991,32055,10,5.1,0,0,0,0,0,5.1,0,0
1991,32056,0,0,0,0,0,0,0,0,0,0
1991,32058,0,0,0,0,0,0,0,0,0,0
1991,33090,64,9.5,0,0,0,0,0,9.6,6.4,13.4
1991,33091,0,0,0,0,0,0,0,0,0,0
1991,33092,0,0,0,0,0,0,0,0,0,0
1991,33093,0,0,0,0,0,0,0,0,0,0
1991,33094,0,0,0,0,0,0,0,0,0,0
1991,34121,0,0,0,0,0,0,0,0,0,0
1991,34122,0,0,0,0,0,0,0,0,0,0
1991,34124,23,5.1,0,0,0,0,0,5.2,4.9,5.3
1991,35092,7,1.9,0,0,0,0,0,0,0,0
1991,35093,15,6.9,0,0,0,0,0,6.9,8.7,5.2
1991,35094,10,8.4,0,0,0,0,0,8.4,0,0
1991,35097,16,13.7,0,0,0,0,0,14,11.9,16.2
1991,35098,17,6,0,0,0,0,0,6.3,0,0
1991,35099,16,13.7,0,0,0,0,0,13.7,0,0
1991,35102,19,3.5,0,0,0,0,0,3.7,4.3,2.6
1991,36123,0,0,0,0,0,0,0,0,0,0
1991,36126,68,8.2,0,0,0,0,0,8.3,9.1,7.2
1991,36131,34,4.5,0,0,0,0,0,4.6,5.2,3.8
1991,36133,0,0,0,0,0,0,0,0,0,0
1991,36134,0,0,0,0,0,0,0,0,0,0
1991,36135,0,0,0,0,0,0,0,0,0,0
1991,36136,47,6.6,0,0,0,0,0,6.7,7,6.2
1991,36137,56,9.8,0,0,0,0,0,9.8,10,9.5
1991,36138,7,4.5,0,0,0,0,0,4.5,0,0
1991,36139,45,4.4,0,400,0,0,0,3.7,5.1,3.8
1991,37037,37,7.1,0,0,0,0,0,7.1,8.3,6
1991,37039,15,4.2,0,0,0,0,0,4.2,0,0
1991,38044,0,0,0,0,0,0,0,0,0,0
1991,38045,0,0,0,0,0,0,0,0,0,0
1991,38046,0,0,0,0,0,0,0,0,0,0
1991,39133,45,6.4,0,0,0,0,0,6.5,7.6,5.3
1991,39134,24,3.4,0,0,0,0,0,3.4,4,2.7
1991,39135,6,2.4,0,0,0,0,0,2.4,0,0
1991,39136,0,0,0,0,0,0,0,0,0,0
1991,39137,14,4.7,0,0,0,0,0,4.7,5.3,4
1991,39139,16,3.9,0,0,0,0,0,3.9,5,2.6
1991,39141,443,6.8,0,7.5,0,0,0,6.9,6.9,6.7
1991,39142,0,0,0,0,0,0,0,0,0,0
1991,40100,0,0,0,0,0,0,0,0,0,0
1991,40101,0,0,0,0,0,0,0,0,0,0
1991,40103,0,0,0,0,0,0,0,0,0,0
1991,40104,0,0,0,0,0,0,0,0,0,0
1991,40107,13,3,0,0,0,0,0,3,3.7,2.3
1991,41001,0,0,0,0,0,0,0,0,0,0
1991,41002,7,3.2,0,0,0,0,0,3.3,0,0
1991,41003,0,0,0,0,0,0,0,0,0,0
1991,41004,0,0,0,0,0,0,0,0,0,0
1991,41005,0,0,0,0,0,0,0,0,0,0
1991,42111,22,9.8,0,0,0,0,0,9.8,9.4,10.4
1991,42113,0,0,0,0,0,0,0,0,0,0
1991,42117,0,0,0,0,0,0,0,0,0,0
1991,42118,0,0,0,0,0,0,0,0,0,0
1991,42119,0,0,0,0,0,0,0,0,0,0
1991,42121,0,0,0,0,0,0,0,0,0,0
1991,42124,27,4.7,0,0,0,0,0,4.6,4.3,5
1991,43001,0,0,0,0,0,0,0,0,0,0
1991,43002,0,0,0,0,0,0,0,0,0,0
1991,43003,0,0,0,0,0,0,0,0,0,0
1991,43004,6,8.2,0,0,0,0,0,8.5,0,0
1991,44078,0,0,0,0,0,0,0,0,0,0
1991,44083,0,0,0,0,0,0,0,0,0,0
1991,44084,0,0,0,0,0,0,0,0,0,0
1991,45076,10,7.6,0,0,0,0,0,7.7,0,0
1991,45077,6,3.3,0,0,0,0,0,4,0,0
1991,45078,0,0,0,0,0,0,0,0,0,0
1991,46128,0,0,0,0,0,0,0,0,0,0
1991,46129,0,0,0,0,0,0,0,0,0,0
1991,46130,15,4.3,0,0,0,0,0,4.3,4.1,4.5
1991,46131,32,8.5,0,0,0,0,0,8.6,8.7,8.3
1991,46132,0,0,0,0,0,0,0,0,0,0
1991,46134,65,6.1,0,-478.3,0,0,0,0.9,7.1,4.9
1991,46135,0,0,0,0,0,0,0,0,0,0
1991,46137,0,0,0,0,0,0,0,0,0,0
1991,46140,0,0,0,0,0,0,0,0,0,0
1991,47060,0,0,0,0,0,0,0,0,0,0
1991,47062,25,6.3,0,0,0,0,0,6.4,7.3,5.2
1991,47064,0,0,0,0,0,0,0,0,0,0
1991,47065,9,4.7,0,0,0,0,0,4.7,0,0
1991,48066,111,7.3,22.6,0,0,0,0,7.4,8.7,5.8
1991,48068,79,2.6,0,0,0,0,0,2.6,2.9,2.2
1991,48069,7,2.5,0,0,0,0,0,2.6,0,0
1991,48070,11,2.4,0,0,0,0,0,2.4,0,0
1991,48071,116,4.7,0,0,0,0,0,4.8,4.7,4.6
1991,48072,205,11,0,9.2,0,0,0,12.4,13.5,8.5
1991,48073,147,6.2,0,4.9,0,0,0,6.4,7.5,4.7
1991,48074,36,2.9,0,0,0,0,0,3.4,3.2,2.6
1991,48075,0,0,0,0,0,0,0,0,0,0
1991,48077,120,4.1,0,0,0,0,0,4.1,4.4,3.9
1991,48078,1182,17,13.5,14.3,17.5,0,0,27,18.2,15.9
1991,48080,62,8,0,9.1,0,0,0,7.9,8.6,7.5
1991,49132,36,5.9,0,0,0,0,0,6,4.7,7.1
1991,49135,0,0,0,0,0,0,0,0,0,0
1991,49137,0,0,0,0,0,0,0,0,0,0
1991,49140,16,7.6,0,0,0,0,0,7.8,6,9.7
1991,49142,98,10.8,0,0,0,0,0,11.1,11.8,9.8
1991,49144,71,9.5,0,0,0,0,0,9.2,9.5,9.6
1991,49148,255,13.2,0,0,0,0,0,13.5,14.2,12.1
1991,50001,128,7.3,0,0,0,0,0,7.4,8.2,6.3
1991,50002,10,4.2,0,0,0,0,0,4.2,0,0
1991,50003,84,9.2,0,0,0,0,0,9.3,9.1,9.4
1991,50005,24,5.4,0,0,0,0,0,5.1,7.2,3.8
1991,50006,26,3.6,0,0,0,0,0,3.7,5,2.1
1991,50007,0,0,0,0,0,0,0,0,0,0
1991,50009,0,0,0,0,0,0,0,0,0,0
1991,50010,48,8.3,0,0,0,0,0,8.2,9.6,7.1
1991,50012,158,6.6,0,0,0,0,0,6.7,7.7,5.6
1991,50013,13,5.5,0,0,0,0,0,6.3,7,4.1
1991,50014,87,9,0,0,0,0,0,9.1,10.4,7.5
1991,51150,0,0,0,0,0,0,0,0,0,0
1991,51152,5,1.8,0,0,0,0,0,1.9,0,0
1991,51153,0,0,0,0,0,0,0,0,0,0
1991,51154,0,0,0,0,0,0,0,0,0,0
1991,51155,14,3.4,0,0,0,0,0,4.2,4.2,2.5
1991,51156,0,0,0,0,0,0,0,0,0,0
1991,51159,23,3.2,0,0,0,0,0,3.5,2.8,3.7
1991,52096,6,2.6,0,0,0,0,0,2.6,0,0
1991,53110,0,0,0,0,0,0,0,0,0,0
1991,53111,21,10.6,0,0,0,0,0,10.6,12.8,8.6
1991,53112,0,0,0,0,0,0,0,0,0,0
1991,53113,119,11.2,0,0,0,0,0,11,10.1,12.4
1991,53114,0,0,0,0,0,0,0,0,0,0
1991,54037,0,0,0,0,0,0,0,0,0,0
1991,54039,16,6,0,24.4,0,0,0,4.7,7.8,4.4
1991,54041,42,9,0,0,0,0,0,9.2,9.9,7.8
1991,54042,5,3.5,0,0,0,0,0,3.4,0,0
1991,54043,5,4.3,0,0,0,0,0,4.4,0,0
1991,54045,19,6.4,0,0,0,0,0,6.9,6.2,6.6
1991,55104,7,3.9,0,0,0,0,0,3.9,0,0
1991,55105,10,5.1,0,0,0,0,0,5.1,0,0
1991,55106,15,7.9,0,0,0,0,0,7.9,7.7,8.2
1991,55108,7,1.8,0,0,0,0,0,1.9,0,0
1991,55110,27,6.1,0,0,0,0,0,6.1,7.7,4.7
1991,55111,8,8.3,0,0,0,0,0,8.6,0,0
1991,56015,0,0,0,0,0,0,0,0,0,0
1991,56017,5,1.4,0,0,0,0,0,1.5,0,0
1991,57001,7,8.1,0,0,0,0,0,8.2,0,0
1991,57002,10,4.8,0,0,0,0,0,4.4,4.9,4.7
1991,57003,57,7.2,0,0,0,0,0,7.2,6.8,7.5
1991,57004,23,6.8,0,0,0,0,0,6.9,8.7,5.1
1991,58106,0,0,0,0,0,0,0,0,0,0
1991,58107,0,0,0,0,0,0,0,0,0,0
1991,58108,0,0,0,0,0,0,0,0,0,0
1991,58109,0,0,0,0,0,0,0,0,0,0
1991,58112,0,0,0,0,0,0,0,0,0,0
1991,59110,0,0,0,0,0,0,0,0,0,0
1991,59113,0,0,0,0,0,0,0,0,0,0
1991,59114,0,0,0,0,0,0,0,0,0,0
1991,59117,45,8,0,0,0,0,0,8.1,9.5,6.3
1991,60077,64,10.1,0,0,0,0,0,10,11.2,8.7
1991,61149,0,0,0,0,0,0,0,0,0,0
1991,61150,0,0,0,0,0,0,0,0,0,0
1991,61151,0,0,0,0,0,0,0,0,0,0
1991,61154,0,0,0,0,0,0,0,0,0,0
1991,61156,24,4.8,0,0,0,0,0,5,7.6,2
1991,61157,0,0,0,0,0,0,0,0,0,0
1991,61158,0,0,0,0,0,0,0,0,0,0
1991,62070,5,7.2,0,0,0,0,0,7.2,0,0
1991,62072,30,5.8,0,0,0,0,0,5.8,6.7,4.8
1991,63066,6,3,0,-133.3,0,0,0,0,0,0
1991,63067,0,0,0,0,0,0,0,0,0,0
1991,64072,0,0,0,0,0,0,0,0,0,0
1991,64074,9,3,0,0,0,0,0,3.2,0,0
1991,64075,91,8.4,0,9.4,0,0,0,8.3,8.7,8.1
1991,65096,0,0,0,0,0,0,0,0,0,0
1991,65098,0,0,0,0,0,0,0,0,0,0
1991,66102,34,6.3,0,0,0,0,0,6.4,5.8,7
1991,66103,5,8.1,0,0,0,0,0,8.2,0,0
1991,66104,0,0,0,0,0,0,0,0,0,0
1991,66105,19,4.9,0,0,0,0,0,4.9,4.1,5.8
1991,66107,7,4.3,0,0,0,0,0,4.3,0,0
1991,67055,20,5.6,0,0,0,0,0,6,6.3,5.1
1991,67061,41,8.5,0,11.3,0,0,0,6.2,11.5,5.5
1991,68070,25,6.4,0,0,0,0,0,6.5,7.9,4.9
1991,68071,0,0,0,0,0,0,0,0,0,0
1991,68072,0,0,0,0,0,0,0,0,0,0
1991,68073,23,11.8,0,0,0,0,0,11.9,14,9.1
1991,68074,0,0,0,0,0,0,0,0,0,0
1991,68075,0,0,0,0,0,0,0,0,0,0
1991,69104,0,0,0,0,0,0,0,0,0,0
1991,69106,0,0,0,0,0,0,0,0,0,0
1991,69107,0,0,0,0,0,0,0,0,0,0
1991,69108,0,0,0,0,0,0,0,0,0,0
1991,69109,5,3.4,0,0,0,0,0,3.6,0,0
1991,70092,10,7.1,0,0,0,0,0,7.7,0,0
1991,70093,21,5,0,0,0,0,0,5.1,5.3,4.5
1991,71091,7,4.9,0,0,0,0,0,4.9,0,0
1991,71092,24,7.2,0,0,0,0,0,7.4,6.7,7.9
